Fire_ID,Fire_Name,sample_number,Acres,sdc,ln_sdc,mean_para,weighted_core_area,weighted_patch_area,ag_index,patch_area,total_class_area,core_area_index,clumpiness,patch_cohesion_index,core_area,number_of_patches,patch_density,pladj,pland,total_core_area,Year,StartMonth,StartDay,Fire_type,bailey_ecoregion,ecoregion_group,eco_code,sm_rdnbr
ID4520811624820150812,TEPEE SPRINGS,sample_bigger,94879,0.00627,-5.07265,0.099192954,876.12,2377.53,82.69,3.44,4839.93,4.51,0.82,98.05,2.02,1407,0.83,82.34,2.86,2837.34,2015,8,12,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3344
ID4527011497119880711,SLIVER CREEK,sample_bigger,45077,0.00265,-5.933,0.087490294,1736.17,3006.2,92.19,13.56,7786.26,10.7,0.91,98.65,10.7,574,0.99,91.88,13.48,6143.58,1988,7,11,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4765
ID4537211447019850720,BUTTE,sample_bigger,28559,0.00588,-5.13697,0.101201739,398.38,852.28,83.79,3.55,2098.08,4.91,0.83,96.96,2.17,591,1.09,83.24,3.86,1280.07,1985,7,20,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4993
ID4537511565420000714,BURGDORF JUNCTION,sample_bigger,67284,0.00489,-5.31989,0.102873351,569.84,1559.64,84.4,4.03,6374.16,4.87,0.83,97.83,2.52,1582,1.47,84.08,5.91,3987.63,2000,7,14,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4252
ID4538711500819880625,CABIN,sample_bigger,25890,0.01921,-3.95208,0.099626434,3.56,22.92,68.43,1.13,259.56,4.79,0.68,84.81,0.37,230,0.58,67.15,0.65,86.13,1988,6,25,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.2761
ID4540111516420000731,FLOSSIE COMPLEX,sample_bigger,90611,0.00495,-5.30895,0.097436127,376.23,1008.74,85.68,4.8,10982.61,6.46,0.84,97.58,3.13,2287,2.1,85.43,10.09,7151.85,2000,7,31,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4818
ID4549011522720170729,HIGHLINE,sample_bigger,93699.06,0.00734,-4.91462,0.093590637,1258.4,2297.82,81.24,3.1,8757.54,6.19,0.8,97.47,1.72,2829,2.24,80.97,6.95,4875.84,2017,7,29,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4988
ID4551811500220000731,CANYON II,sample_bigger,26490,0.02908,-3.53763,0.106148292,0,8.14,55.92,0.52,117,2.24,0.56,73,0.1,224,0.32,54.35,0.17,22.23,2000,7,31,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.325
ID4553411629920120906,SHEEP,sample_bigger,50770,0.00687,-4.98053,0.097807349,178.77,648.59,80.61,2.76,2613.42,5.43,0.8,96.25,1.52,946,1.21,80.14,3.34,1437.66,2012,9,6,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3641
ID4557011468119960723,SWET-WARRIOR COMPLEX  (SWET CREEK),sample_bigger,39495,0.00386,-5.55583,0.103399202,1777.36,5635.27,88.55,7.93,6292.35,5.23,0.87,99.15,5.63,793,1.32,88.21,10.47,4466.7,1996,7,23,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5579
ID4557911514619880813,LADDER,sample_bigger,42348,0.00999,-4.60604,0.102717077,101.07,191.49,77.23,1.77,1091.07,4.75,0.77,93.22,0.87,618,0.73,76.53,1.3,534.78,1988,8,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3445
ID4559711556320120827,MCGUIRE COMPLEX,sample_bigger,47258,0.00478,-5.3439,0.091421741,891.35,1561.23,86.84,5.53,5850.36,8.63,0.85,97.69,3.71,1058,1.76,86.49,9.72,3928.41,2012,8,27,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4811
ID4560811517420150724,CROWN,sample_bigger,30482,0.00333,-5.70359,0.090995213,1562.91,2623.99,88.9,7.11,4287.78,9.04,0.88,98.19,5.08,603,1.02,88.49,7.24,3063.69,2015,7,24,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4822
ID4562411645420070718,POE CABIN,sample_bigger,59704,0.01095,-4.51397,0.102724503,73.26,213.7,73.07,1.62,4683.78,3.66,0.72,93.91,0.68,2899,2.97,72.75,4.8,1978.56,2007,7,18,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.6179
ID4569811508120120809,PORCUPINE COMPLEX,sample_bigger,48981,0.00553,-5.19818,0.096498848,512.09,692.78,83.8,4.34,5829.21,6.35,0.83,96.76,2.63,1343,1.62,83.47,7.01,3537.9,2012,8,9,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4848
ID4599311683120140803,BIG COUGAR,sample_bigger,65397,0.01546,-4.16978,0.098455651,28.27,126.06,69.98,1.44,3480.75,4.05,0.69,91.67,0.5,2417,2.59,69.62,3.73,1219.23,2014,8,3,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.6112
ID4605311687720070713,CHIMNEY COMPLEX,sample_bigger,50646,0.01196,-4.42633,0.101691372,42.18,216.88,72.9,1.72,4031.46,3.76,0.71,93.81,0.7,2340,3,72.55,5.17,1642.32,2007,7,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5767
ID4606811540520150815,WASH,sample_bigger,39448,0.011,-4.51018,0.097022946,48.16,93.12,75.41,1.83,1672.92,5.29,0.75,91.84,0.82,915,1.01,74.86,1.85,752.04,2015,8,15,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3833
ID4637411451920070718,BRIDGE,sample_bigger,36732,0.0065,-5.03671,0.104778675,155.73,430.72,82.25,3.92,4605.75,4.74,0.81,97.09,2.3,1174,2.15,81.89,8.45,2703.69,2007,7,18,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5168
ID4639911493920120808,FREEZE OUT,sample_bigger,28355,0.01126,-4.48626,0.09675926,30.88,250.13,76.76,2.29,1993.05,5.46,0.76,95,1.05,872,1.65,76.25,3.77,916.74,2012,8,8,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3899
ID4642611450620120727,FERN,sample_bigger,29737,0.00917,-4.69206,0.098602131,221.23,819.33,79.16,2.85,3050.55,5.01,0.78,96.61,1.46,1072,1.83,78.73,5.21,1563.39,2012,7,27,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4433
MT4547911082720010819,FRIDLEY,sample_bigger,27575,0.0031,-5.77497,0.098000474,3451.25,9453.32,91.38,15.47,6188.13,5.87,0.9,99.53,11.82,400,0.91,91.03,14.04,4727.79,2001,8,19,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.609
MT4571311374520070809,RAT CREEK,sample_bigger,25929,0.00526,-5.24764,0.092408554,192.7,1127.15,87.09,9.24,3787.92,8.42,0.86,98.61,6.09,410,0.92,86.67,8.53,2495.07,2007,8,9,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5011
MT4580011396420000731,SULA COMPLEX (MAYNARD),sample_bigger,62967,0.00651,-5.03366,0.096826257,237.58,563.43,83.25,4.6,7144.92,7.19,0.82,96.98,2.73,1552,1.36,82.96,6.24,4234.41,2000,7,31,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5044
MT4589911360920000731,MUSSIGBROD COMPLEX (MUSSIGBROD),sample_bigger,64810,0.00271,-5.9092,0.098238422,3811.76,8754.22,91.2,12.62,13026.51,6.09,0.9,99.4,9.68,1032,1.05,90.96,13.29,9993.78,2000,7,31,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5497
MT4599511358020170714,MEYERS,sample_bigger,68711.35,0.00337,-5.69234,0.092602229,1788.65,3933.12,89.19,9.98,11714.31,7.41,0.88,98.85,7.16,1174,1.15,88.95,11.49,8407.53,2017,7,14,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5597
MT4620711124920000815,TOSTON-MAUDLOW,sample_bigger,80383,0.0108,-4.52852,0.097109044,70.46,326.9,75.88,2.22,5668.11,5.03,0.75,95.06,1,2558,2.36,75.58,5.23,2548.35,2000,8,15,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4268
MT4643911179319880809,CANYON CREEK,sample_bigger,35865,0.00404,-5.51249,0.100324346,3502.89,12263.24,89.98,11.81,6743.16,4.61,0.89,99.57,8.65,571,0.82,89.65,9.64,4941.18,1988,8,9,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5539
MT4644711368920170713,LITTLE HOGBACK,sample_bigger,34646.57,0.00558,-5.1893,0.091519594,248.63,765.29,85.35,4.59,2678.58,7.97,0.85,96.8,2.9,584,1.16,84.85,5.32,1694.43,2017,7,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4133
MT4648111367820070713,SAWMILL COMPLEX (WYMAN #2),sample_bigger,68236,0.00545,-5.21152,0.09272272,647.25,1593.34,85.97,6.33,7921.8,8.79,0.85,98.25,4.08,1252,0.81,85.68,5.1,5106.42,2007,7,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5069
MT4667111382820030809,COONEY RIDGE,sample_bigger,25741,0.00891,-4.72049,0.097295615,54.77,196.38,78.63,2.01,1182.87,5.64,0.78,93.67,1.03,589,1.37,77.94,2.76,604.08,2003,8,9,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4993
MT4667411426820170715,LOLO PEAK,sample_bigger,62315.95,0.00602,-5.11234,0.09509967,890,828.41,82.97,3.58,5029.11,6.16,0.82,96.54,2.12,1403,1.75,82.62,6.27,2978.37,2017,7,15,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.453
MT4670111161920000723,CANYON FERRY COMPLEX (CAVE GULCH),sample_bigger,26997,0.00516,-5.26598,0.096201146,847.57,2625.73,86.6,7.42,4576.5,6.58,0.85,98.76,4.87,617,1.61,86.22,11.91,3003.12,2000,7,23,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5381
MT4680511189419840827,NORTH HILL,sample_bigger,27162,0.01557,-4.16217,0.10043183,0.49,61.27,72.13,1.69,796.59,5.77,0.72,91.9,0.64,472,1.04,71.36,1.76,300.15,1984,8,27,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5863
MT4688611467420030810,FISH CREEK COMPLEX (THOMPSON CREEK),sample_bigger,33779,0.00649,-5.03716,0.106680478,147.68,912.73,79.63,2.43,2490.93,2.96,0.79,97.18,1.3,1026,1.71,79.15,4.16,1338.57,2003,8,10,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4464
MT4703711487920170717,SUNRISE,sample_bigger,26896.37,0.01099,-4.51108,0.091439541,131.08,116.66,77.32,2.07,1609.2,7.96,0.76,91.07,0.99,777,2.16,76.74,4.48,772.2,2017,7,17,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4485
MT4709011261820030813,LINCOLN COMPLEX (SNOWBANK),sample_bigger,36987,0.00325,-5.73061,0.096480229,2190.53,6938.81,90.25,12.73,7127.46,6.6,0.89,99.56,9.39,560,1.01,89.93,12.9,5256,2003,8,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.6141
MT4713911378020170715,LIBERTY,sample_bigger,27731.11,0.00604,-5.10922,0.092237702,474.07,851.07,84.17,3.92,3021.75,7.3,0.83,96.55,2.41,771,1.66,83.71,6.5,1860.03,2017,7,15,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5373
MT4715311245620170723,ALICE CREEK,sample_bigger,29971.73,0.00791,-4.84,0.095936064,164.87,710.05,82.68,3.97,2495.25,5.54,0.82,97.23,2.27,629,1.16,82.18,4.6,1430.82,2017,7,23,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4417
MT4740911286820120712,ELBOW PASS COMPLEX,sample_bigger,28990,0.00405,-5.5081,0.093964622,1357.22,3363.68,88.32,8.53,4313.97,7.57,0.87,98.79,5.94,506,1.02,87.92,8.7,3003.84,2012,7,12,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5016
MT4745011323520030816,BARTLETT MOUNTAIN,sample_bigger,27613,0.00502,-5.29419,0.100549203,524.36,1000.17,85.79,6.13,3541.14,6.55,0.85,97.63,3.93,578,1.08,85.36,6.64,2272.5,2003,8,16,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5616
MT4754911296120070628,AHORN,sample_bigger,45633,0.0047,-5.36013,0.098536813,561.39,2205.72,87.24,8.86,7658.91,5.93,0.85,98.96,5.94,864,1.36,86.94,12.06,5130.45,2007,6,28,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.6359
MT4760011331820030718,LITTLE SALMON CREEK,sample_bigger,33044,0.00724,-4.92747,0.099831177,180.78,481.63,80.89,2.73,2204.01,5.2,0.8,95.74,1.52,806,1.53,80.37,4.18,1224.63,2003,7,18,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4636
MT4760011518520160731,COPPER KING,sample_bigger,28339,0.00466,-5.36806,0.090945915,1749,5412.49,88.15,7.87,4386.33,8.23,0.87,99.16,5.44,557,1.05,87.75,8.28,3032.46,2016,7,31,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5929
MT4780711483420070731,CHIPPY CREEK,sample_bigger,95656,0.00341,-5.67975,0.099421281,4007.74,9479.25,88.51,6.85,12900.6,5.11,0.87,99.19,4.89,1882,1.93,88.28,13.25,9201.33,2007,7,31,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5715
MT4781311293519880711,GATES PARK,sample_bigger,42493,0.00366,-5.61028,0.09794691,2338.14,7146.99,90.59,12.74,9030.15,5.91,0.89,99.44,9.54,709,1.14,90.31,14.57,6761.7,1988,7,11,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5821
MT4784711358920150812,BEAR CREEK,sample_bigger,60711,0.00472,-5.35697,0.095604771,609.73,1638.53,86.1,5.71,7639.83,6.66,0.85,98.19,3.71,1337,1.21,85.8,6.94,4966.56,2015,8,12,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4662
MT4797011293420070628,FOOL CREEK,sample_bigger,53912,0.00455,-5.39247,0.097588973,424.87,1418.61,87.57,9.89,9777.51,7.03,0.86,98.49,6.67,989,1.18,87.3,11.71,6596.19,2007,6,28,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.6542
MT4817211305620150813,FAMILY PEAK COMPLEX,sample_bigger,49770,0.00397,-5.52845,0.094931449,2520.43,8064.85,89.21,12.04,9115.83,6.14,0.88,99.33,8.62,757,0.95,88.93,11.41,6522.12,2015,8,13,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5996
MT4832411320020070718,SKYLAND,sample_bigger,41237,0.00845,-4.77381,0.097595437,123.15,583.06,80.92,3.65,4079.79,6.04,0.8,96.83,1.96,1118,1.56,80.54,5.7,2194.56,2007,7,18,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4841
MT4837411482620070727,BRUSH CREEK,sample_bigger,30166,0.01019,-4.58629,0.099951224,116.23,191.37,77.84,2.31,1830.42,5.75,0.77,93.69,1.13,793,1.92,77.29,4.43,898.56,2007,7,27,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5311
MT4865211410120010816,MOOSE,sample_bigger,73210,0.00356,-5.63884,0.097322443,1226.43,2137.82,88.07,7.05,9668.16,6.41,0.87,98.36,4.93,1372,1.46,87.8,10.31,6760.71,2001,8,16,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5262
MT4868111343420060728,RED EAGLE,sample_bigger,32563,0.0045,-5.40286,0.100174691,1027.97,4531.9,87.74,9.99,6371.19,5.52,0.86,99.25,6.79,638,1.07,87.41,10.71,4330.62,2006,7,28,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.6138
MT4878711426219880906,RED BENCH,sample_bigger,33845,0.00603,-5.11051,0.100815936,343.79,927.24,83.18,3.75,3635.64,5.27,0.82,97.13,2.25,969,1.54,82.77,5.77,2178.63,1988,9,6,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4837
MT4890111437420030718,WEDGE CANYON,sample_bigger,51987,0.00515,-5.26966,0.102972352,518.02,1238.74,84.02,4.12,6587.91,3.91,0.82,98.18,2.53,1599,2.25,83.7,9.27,4053.33,2003,7,18,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.566
MT4897311544120170811,CARIBOU,sample_bigger,28101.54,0.01028,-4.5775,0.093972737,28.52,166.75,79.25,2.86,2098.62,7.53,0.78,94.18,1.43,734,1.81,78.73,5.17,1050.03,2017,8,11,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4705
NM3590710632420000505,CERRO GRANDE,sample_bigger,44279,0.00367,-5.60707,0.098375089,1303.09,2563.8,87.06,5.88,5869.71,4.87,0.86,98.45,3.98,998,1.53,86.72,8.99,3972.69,2000,5,5,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4907
NM3668210504720020608,PONIL COMPLEX,sample_bigger,89084,0.00393,-5.53995,0.094909823,623.26,1043.64,86.99,5.79,11039.94,7.21,0.85,97.55,3.92,1907,1.84,86.74,10.65,7481.34,2002,6,8,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4182
NM3692010445620110612,TRACK,sample_bigger,28894,0.00372,-5.59436,0.094713764,1441.47,2196.05,89.12,8.27,2862.81,7.92,0.88,98.09,5.9,346,0.85,88.62,7.02,2040.39,2011,6,12,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.5785
OR4426911945020140801,SOUTH FORK COMPLEX,sample_bigger,66744,0.00791,-4.8402,0.097459102,184.74,298.82,80.37,2.3,1560.6,5.03,0.8,94.33,1.25,678,0.82,79.75,1.89,847.26,2014,8,1,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5042
OR4431411958420150629,CORNER CREEK 0297 PR,sample_bigger,30303,0.04171,-3.17703,0.097757003,0,3.66,53.7,0.51,84.24,2.33,0.54,69.55,0.06,166,0.33,51.92,0.17,9.9,2015,6,29,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.2478
OR4440811838320160731,RAIL,sample_bigger,43814,0.00671,-5.0036,0.091700538,238.64,964.8,82.97,4.02,4480.47,6.74,0.82,97.53,2.34,1115,1.97,82.6,7.93,2606.31,2016,7,31,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4936
OR4472911869719960813,BULL COMPLEX (SUMMIT),sample_bigger,36318,0.00725,-4.92705,0.100874732,111.84,571.8,79.1,3.09,3628.08,4.25,0.78,97,1.57,1176,2.25,78.7,6.94,1841.22,1996,8,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5031
OR4483512025020140714,PINE CREEK,sample_bigger,31033,0.02007,-3.90853,0.095305315,0,23.04,71.69,1.61,115.92,5.89,0.72,89.85,0.53,72,0.13,69.68,0.21,38.34,2014,7,14,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.4112
OR4490111693120060723,FOSTER GULCH,sample_bigger,52496,0.02448,-3.70987,0.104174991,9.12,29.37,60.92,0.76,689.04,2.43,0.61,83.81,0.18,907,0.61,60.22,0.47,160.38,2006,7,23,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5507
OR4493111934520010812,MONUMENT COMPLEX (MALLORY),sample_bigger,29095,0.05168,-2.96267,0.110511241,0,2.25,43.92,0.32,40.05,0.91,0.44,57.89,0.02,125,0.23,41.8,0.07,2.52,2001,8,12,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.1933
OR4495611940720070712,MONUMENT COMPLEX (RED HILL FIRE),sample_bigger,54572,0.02871,-3.55056,0.110552455,1.2,17.67,51.54,0.48,1595.34,1.3,0.51,79.56,0.08,3310,4.18,51.15,2.01,254.52,2007,7,12,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5005
OR4503511869219960814,TOWER,sample_bigger,50827,0.00497,-5.3053,0.102108274,1855.91,7186.55,85.26,5.7,7214.85,4.6,0.83,99.17,3.63,1265,2.02,84.96,11.52,4587.75,1996,8,14,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5451
OR4541311664220070713,BATTLE CREEK COMPLEX (BATTLE CREEK),sample_bigger,79114,0.01903,-3.96192,0.106619453,5.72,80.79,63.93,0.84,1319.49,2.16,0.64,89.15,0.24,1577,0.69,63.4,0.58,386.1,2007,7,13,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.2504
OR4556011656419960802,SALT COMPLEX (SALT CREEK),sample_bigger,50250,0.03284,-3.41603,0.106368874,0,6.62,55.42,0.59,240.48,2.75,0.55,75.42,0.1,407,0.45,54.34,0.26,40.68,1996,8,2,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.18
OR4562411652120140804,SOMERS,sample_bigger,36375,0.01761,-4.0394,0.100382915,43.59,93.15,68,1.19,1682.46,3.57,0.67,90.37,0.38,1418,2.21,67.5,2.62,544.41,2014,8,4,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.5351
OR4574311663820000824,EASTSIDE COMPLEX (DEEP CREEK),sample_bigger,31969,0.05549,-2.8915,0.115084556,0,1.91,38.92,0.26,35.91,1.23,0.39,54.8,0.02,137,0.29,36.97,0.08,2.61,2000,8,24,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.216
OR4583311720919860811,JOSEPH/STARVATION,sample_bigger,37064,0.03511,-3.34932,0.108594934,0,8.39,51.52,0.51,448.11,1.63,0.51,77.62,0.07,873,1.41,50.78,0.72,63.45,1986,8,11,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.2269
OR4585811691019880825,TEEPEE BUTTE,sample_bigger,59565,0.02985,-3.51153,0.106444059,0,11.84,55.91,0.69,962.37,2.16,0.55,82.52,0.12,1387,1.7,55.37,1.18,165.69,1988,8,25,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.258
UT3949911117520120626,SEELEY,sample_bigger,44627,0.00806,-4.82027,0.093746096,82.92,532.8,83.15,5.58,6047.82,7.53,0.81,97.51,3.21,1084,1.71,82.83,9.53,3477.87,2012,6,26,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.5611
UT4055711000520070629,NEOLA NORTH,sample_bigger,46909,0.00892,-4.71946,0.099905909,125.83,220.33,77.59,2.26,2118.51,4.57,0.77,94.66,1.11,938,1.32,77.09,2.99,1042.65,2007,6,29,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4617
WA4606911776320150814,BUTTE CREEK,sample_bigger,79418,0.02365,-3.74456,0.103187882,12.68,31.66,60.52,0.73,1125.63,2.35,0.6,84.21,0.16,1536,1.49,59.98,1.09,249.21,2015,8,14,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3319
WA4628511761620050805,SCHOOL,sample_bigger,51701,0.01524,-4.18401,0.10175106,19.26,191.4,70.94,1.51,2220.21,3.4,0.7,93.84,0.56,1472,2.31,70.49,3.49,820.35,2005,8,5,Wildfire,Middle Rocky Mountain Steppe,NMS,2,0.3632
WA4800511820420150815,CARPENTER RD.,sample_bigger,62489,0.02053,-3.8861,0.097505139,1.8,20.91,66.58,1.09,1007.55,4.37,0.66,85.94,0.33,921,1.03,65.95,1.12,301.68,2015,8,15,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4195
WA4823011870220140804,DEVILS ELBOW COMPLEX,sample_bigger,25988,0.01932,-3.94649,0.099146715,14.46,57.7,66.54,0.99,579.69,4.28,0.66,86.5,0.31,584,1.47,65.7,1.46,182.43,2014,8,4,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.3589
WA4825311961220010813,VIRGINIA L,sample_bigger,35780,0.01609,-4.12961,0.105345688,5.34,275.48,66.32,1.05,447.66,1.6,0.66,94.91,0.31,426,0.94,65.37,0.99,130.77,2001,8,13,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4902
WA4830911934320010814,ST MARYS,sample_bigger,34914,0.02625,-3.63999,0.101563073,0,20.98,59.98,0.7,423.54,2.6,0.6,84.33,0.15,603,1.21,59.11,0.85,89.19,2001,8,14,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.5507
WA4871611929919850828,BARKER MT,sample_bigger,32839,0.01023,-4.58244,0.103131576,26.08,113.59,72.95,1.2,552.78,2.98,0.73,90.12,0.52,461,0.85,72.02,1.02,238.95,1985,8,28,Wildfire,Northern Rocky Mountain Forest,NMS,2,0.4685
WY4127110938020000703,WLD HORSE,sample_bigger,41881,0.0217,-3.83046,0.097238726,0.67,42.78,67.75,1.51,1895.04,4.43,0.67,89.85,0.44,1259,1.43,67.28,2.16,557.37,2000,7,3,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.6615
WY4291010958419880821,FAYETTE,sample_bigger,29234,0.01298,-4.34429,0.096020747,16.77,91.68,73.58,1.84,1894.5,5.24,0.72,92.59,0.74,1027,2.16,73.07,3.98,759.24,1988,8,21,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4455
WY4306610945120120809,ALPINE LAKE,sample_bigger,39158,0.01449,-4.23416,0.095090873,13.25,61.12,73.38,1.86,2105.19,5.59,0.73,91.32,0.74,1134,1.29,72.9,2.39,838.26,2012,8,9,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.495
WY4323911049120160717,CLIFF CREEK,sample_bigger,36131,0.01366,-4.29323,0.094966389,45.25,87.37,74.33,1.89,2570.85,6.03,0.73,91.7,0.8,1360,2.29,73.89,4.34,1082.25,2016,7,17,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4033
WY4392511021120120824,NORTH BUFFALO,sample_bigger,28324,0.00555,-5.19324,0.09751658,197.83,549.16,84.9,5,3907.62,6.23,0.84,97.62,3.12,781,1.64,84.49,8.19,2438.46,2012,8,24,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.5077
WY4395910974120130720,HARDLUCK,sample_bigger,25911,0.0065,-5.0367,0.092288582,429.29,1656.94,84.06,5.28,3559.5,7.79,0.83,98.46,3.16,674,1.14,83.64,6.02,2128.68,2013,7,20,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4874
WY4454310947320080726,GUNBARREL,sample_bigger,69730,0.01356,-4.3006,0.1038438,20.97,114.48,71.87,1.51,2251.44,4.22,0.71,92.32,0.61,1490,1.36,71.42,2.05,901.53,2008,7,26,Wildfire,Southern Rocky Mountain Steppe,NMS,2,0.4861
CA3279711673520010103,VIEJAS,sample1,10942,0.0539,-2.92056,0.111764598,0,1.95,40.58,0.33,55.26,1.05,0.4,61.18,0.02,168,0.53,38.93,0.18,3.33,2001,1,3,Wildfire,California Coastal Range,CC,3,0.3665
CA3294111643119950619,BUTTERFIELD,sample1,7165,0.01742,-4.05033,0.099301303,0,32.86,70.75,1.6,126.45,4.16,0.71,91.38,0.55,79,0.4,68.86,0.64,43.56,1995,6,19,Wildfire,California Coastal Range,CC,3,0.5008
CA3329911746620140515,PULGAS,sample1,14937,0.01468,-4.22101,0.101750412,15.57,79.66,71.84,1.49,603.63,3.67,0.71,90.63,0.57,405,1.32,70.96,1.96,229.86,2014,5,15,Wildfire,California Costal Chapparal ,CC,3,0.5966
CA3332411665620030612,UNNAMED,sample1,2714,0.0125,-4.38179,0.104972097,2,279.51,75.23,2.6,347.94,3.61,0.74,96.61,1.08,134,1.31,74.02,3.4,144.27,2003,6,12,Wildfire,California Coastal Range,CC,3,0.5256
CA3334911719120171207,LILAC 5,sample1,4159.41,0.0434,-3.1373,0.114729345,0,2.36,46.11,0.27,9.63,1.39,0.46,54.32,0.03,36,0.24,41.59,0.06,1.08,2017,12,7,Wildfire,California Costal Chapparal ,CC,3,0.4793
CA3362611673419880602,UNNAMED,sample1,1586,0.02645,-3.63263,0.102090327,0,8.8,59.94,0.8,48.51,2.77,0.6,81.52,0.15,61,0.61,57.33,0.49,9.18,1988,6,2,Wildfire,California Coastal Range,CC,3,0.3047
